CODE|NAME|DESCRIPTION
STT-NOF-NOL|STTYPE-NOFIRST-NOLAST|CHANGE TO STREET TYPE, NUMBER FIRST AND NUMBER LAST
LOC-STT-NOF-NOL|LOCALITY-STTYPE-NOFIRST-NOLAST|CHANGE TO LOCALITY NAME, STREET TYPE, NUMBER FIRST AND NUMBER LAST
STN-STT-NOF-NOL|STNAME-STTYPE-NOFIRST-NOLAST|CHANGE TO STREET NAME, STREET TYPE, NUMBER FIRST AND NUMBER LAST
LOC-STN-STT-NOF-NOL|LOCALITY-STNAME-STTYPE-NOFIRST-NOLAST|CHANGE TO LOCALITY NAME, STREET NAME, STREET TYPE, NUMBER FIRST AND NUMBER LAST
STS-NOF-NOL|STSUFFIX-NOFIRST-NOLAST|CHANGE TO STREET SUFFIX, NUMBER FIRST AND NUMBER LAST
LOC-STS-NOF-NOL|LOCALITY-STSUFFIX-NOFIRST-NOLAST|CHANGE TO LOCALITY NAME, STREET SUFFIX, NUMBER FIRST AND NUMBER LAST
STN-STS-NOF-NOL|STNAME-STSUFFIX-NOFIRST-NOLAST|CHANGE TO STREET NAME, STREET SUFFIX, NUMBER FIRST AND NUMBER LAST
LOC-STN-STS-NOF-NOL|LOCALITY-STNAME-STSUFFIX-NOFIRST-NOLAST|CHANGE TO LOCALITY NAME, STREET NAME, STREET SUFFIX, NUMBER FIRST AND NUMBER LAST
STT-STS-NOF-NOL|STTYPE-STSUFFIX-NOFIRST-NOLAST|CHANGE TO STREET TYPE, STREET SUFFIX, NUMBER FIRST AND NUMBER LAST
LOC-STT-STS-NOF-NOL|LOCALITY-STTYPE-STSUFFIX-NOFIRST-NOLAST|CHANGE TO LOCALITY NAME, STREET TYPE, STREET SUFFIX, NUMBER FIRST AND NUMBER LAST
STN-STT-STS-NOF-NOL|STNAME-STTYPE-STSUFFIX-NOFIRST-NOLAST|CHANGE TO STREET NAME, STREET TYPE, STREET SUFFIX, NUMBER FIRST AND NUMBER LAST
LOC-STN-STT-STS-NOF-NOL|LOCALITY-STNAME-STTYPE-STSUFFIX-NOFIRST-NOLAST|CHANGE TO LOCALITY NAME, STREET NAME, STREET TYPE, STREET SUFFIX, NUMBER FIRST AND NUMBER LAST
