CODE|NAME|DESCRIPTION
ATM|AUTOMATED TELLER MACHINE|AUTOMATED TELLER MACHINE
BTSD|BOATSHED|BOATSHED
COOL|COOLROOM|COOLROOM
DUPL|DUPLEX|DUPLEX
FCTY|FACTORY|FACTORY
FLAT|FLAT|FLAT
LBBY|LOBBY|LOBBY
LOFT|LOFT|LOFT
MBTH|MARINE BERTH|MARINE BERTH
OFFC|OFFICE|OFFICE
RESV|RESERVE|RESERVE
ROOM|ROOM|ROOM
STLL|STALL|STALL
STOR|STORE|STORE
STR|STRATA UNIT|STRATA UNIT
UNIT|UNIT|UNIT
WHSE|WAREHOUSE|WAREHOUSE
WKSH|WORKSHOP|WORKSHOP
ANT|ANTENNA|ANTENNA
APT|APARTMENT|APARTMENT
BBQ|BARBECUE|BARBECUE
BLCK|BLOCK|BLOCK
BLDG|BUILDING|BUILDING
BNGW|BUNGALOW|BUNGALOW
CAGE|CAGE|CAGE
CARP|CARPARK|CARPARK
CARS|CARSPACE|CARSPACE
CLUB|CLUB|CLUB
CTGE|COTTAGE|COTTAGE
GRGE|GARAGE|GARAGE
HALL|HALL|HALL
HSE|HOUSE|HOUSE
KSK|KIOSK|KIOSK
LOT|LOT|LOT
LSE|LEASE|LEASE
MSNT|MAISONETTE|MAISONETTE
PTHS|PENTHOUSE|PENTHOUSE
REAR|REAR|REAR
SE|SUITE|SUITE
SEC|SECTION|SECTION
SHED|SHED|SHED
SHOP|SHOP|SHOP
SHRM|SHOWROOM|SHOWROOM
SIGN|SIGN|SIGN
SITE|SITE|SITE
STU|STUDIO|STUDIO
SUBS|SUBSTATION|SUBSTATION
TNCY|TENANCY|TENANCY
TNHS|TOWNHOUSE|TOWNHOUSE
TWR|TOWER|TOWER
VLLA|VILLA|VILLA
VLT|VAULT|VAULT
WARD|WARD|WARD
RTCE|ROOF TERRACE|ROOF TERRACE
