CODE|NAME|DESCRIPTION
CDF|CENTRE-LINE DROPPED FRONTAGE|A POINT ON THE ROAD CENTRE-LINE OPPOSITE THE CENTRE OF THE ROAD FRONTAGE OF AN ADDRESS SITE.
LB|LETTERBOX|PLACE WHERE MAIL IS DEPOSITED.
STL|STREET LOCALITY|POINT REPRESENTING THE EXTENT OF A STREET WITHIN A LOCALITY
LOC|LOCALITY|POINT REPRESENTING A LOCALITY
BAP|BUILDING ACCESS POINT|POINT OF ACCESS TO THE BUILDING.
BC|BUILDING CENTROID|POINT AS CENTRE OF BUILDING AND LYING WITHIN ITS BOUNDS (E.G. FOR U-SHAPED BUILDING).
DF|DRIVEWAY FRONTAGE|CENTRE OF DRIVEWAY ON ADDRESS SITE FRONTAGE.
EA|EMERGENCY ACCESS|SPECIFIC BUILDING OR PROPERTY ACCESS POINT FOR EMERGENCY SERVICES.
EAS|EMERGENCY ACCESS SECONDARY|SPECIFIC BUILDING OR PROPERTY SECONDARY ACCESS POINT FOR EMERGENCY SERVICES.
FDA|FRONT DOOR ACCESS|FRONT DOOR OF BUILDING.
FC|FRONTAGE CENTRE|POINT ON THE CENTRE OF THE ADDRESS SITE FRONTAGE.
FCS|FRONTAGE CENTRE SETBACK|A POINT SET BACK FROM THE CENTRE OF THE ROAD FRONTAGE WITHIN AN ADDRESS SITE.
PAP|PROPERTY ACCESS POINT|ACCESS POINT (CENTRE OF) AT THE ROAD FRONTAGE OF THE PROPERTY.
PAPS|PROPERTY ACCESS POINT SETBACK|A POINT SET BACK FROM THE (CENTRE OF THE) ACCESS POINT AT THE ROAD FRONTAGE OF THE PROPERTY.
PC|PROPERTY CENTROID|POINT OF CENTRE OF PARCELS MAKING UP A PROPERTY AND LYING WITHIN ITS BOUNDARIES (E.G. FOR L-SHAPED PROPERTY).
PCM|PROPERTY CENTROID MANUAL|POINT MANUALLY PLACED APPROXIMATELY AT CENTRE OF PARCELS MAKING UP A PROPERTY AND LYING WITHIN ITS BOUNDARIES (E.G. FOR L-SHAPED PROPERTY).
UC|UNIT CENTROID|POINT AT CENTRE OF UNIT AND LYING WITHIN ITS BOUNDS (E.G. FOR U-SHAPED UNIT).
UCM|UNIT CENTROID MANUAL|POINT MANUALLY PLACED APPROXIMATELY AT CENTRE OF UNIT AND LYING WITHIN ITS BOUNDS (E.G. FOR U-SHAPED UNIT).
GG|GAP GEOCODE|POINT PROGRAMMATICALLY ALLOCATED DURING THE G-NAF PRODUCTION PROCESS PROPORTIONALLY BETWEEN ADJACENT ADDRESS LOCATIONS (BASED ON NUMBER_FIRST).
WCP|WATER CONNECTION POINT|WATER CONNECTION POINT (E.G. BOX, OR UNDERGROUND CHAMBER).
WM|WATER METER|WATER METER POINT (E.G. BOX, OR UNDERGROUND CHAMBER).
SCP|SEWERAGE CONNECTION POINT|SEWERAGE CONNECTION POINT (E.G. BOX, OR UNDERGROUND CHAMBER).
GCP|GAS CONNECTION POINT|GAS CONNECTION POINT (E.G. BOX, OR UNDERGROUND CHAMBER).
GM|GAS METER|GAS METER POINT (E.G. BOX, OR UNDERGROUND CHAMBER).
TCP|TELEPHONE CONNECTION POINT|TELEPHONE CONNECTION POINT (E.G. BOX, OR UNDERGROUND CHAMBER).
ECP|ELECTRICITY CONNECTION POINT|ELECTRICITY CONNECTION POINT (E.G. BOX, OR UNDERGROUND CHAMBER).
EM|ELECTRICITY METER|ELECTRICITY METER POINT (E.G. BOX, OR UNDERGROUND CHAMBER).
ICP|INTERNET CONNECTION POINT|INTERNET CONNECTION POINT (E.G. BOX, OR UNDERGROUND CHAMBER).
UNK|UNKNOWN|THE TYPE OF REAL WORLD FEATURE THE POINT REPRESENTS IS NOT KNOWN.
BCM|BUILDING CENTROID MANUAL|POINT MANUALLY PLACED APPROXIMATELY AT CENTRE OF BUILDING AND LYING WITHIN ITS BOUNDS (E.G. FOR U-SHAPED BUILDING).
