ADDRESS_ALIAS_PID|DATE_CREATED|DATE_RETIRED|PRINCIPAL_PID|ALIAS_PID|ALIAS_TYPE_CODE|ALIAS_COMMENT
11017712|2016-11-02||GAACT716457939|GAACT715141937|RA|
11017141|2016-11-02||GAACT716457894|GAACT715137772|RA|
11017199|2016-11-02||GAACT716457957|GAACT715141940|RA|
11017158|2016-11-02||GAACT716457912|GAACT715136905|RA|
11017191|2016-11-02||GAACT716457948|GAACT715138660|RA|
1003230|2012-07-16||GAACT718360448|GAACT715708500|RA|
1003242|2012-07-16||GAACT718360462|GAACT715708543|RA|
1003245|2012-07-16||GAACT718360466|GAACT715708550|RA|
1003259|2012-07-16||GAACT718360483|GAACT715708601|RA|
1003260|2012-07-16||GAACT718360484|GAACT715708604|RA|
2822533|2014-01-24||GAACT714886579|GAACT714999948|FNNFS|
36468945|2025-08-01||GAACT721834413|GAACT718478516|SYN|
15023554|2018-07-27||GAACT714943102|GAACT715120146|SYN|
15025042|2018-07-27||GAACT714952217|GAACT715129023|SYN|
38668370|2026-01-21||GAACT714915232|GAACT715018391|SYN|
15024565|2018-07-27||GAACT715293846|GAACT718359302|SYN|
15025131|2018-07-27||GAACT714896108|GAACT715128144|SYN|
15024706|2018-07-27||GAACT715695787|GAACT718445978|SYN|
21464688|2021-04-16||GAACT714894171|GAACT714894175|SYN|
15023563|2018-07-27||GAACT717055085|GAACT715124574|SYN|
