ADDRESS_DEFAULT_GEOCODE_PID|DATE_CREATED|DATE_RETIRED|ADDRESS_DETAIL_PID|GEOCODE_TYPE_CODE|LONGITUDE|LATITUDE
3006436950|2012-11-05||GAACT714974501|FCS|149.14089433|-35.27624313
3006436951|2012-11-05||GAACT714974215|FCS|149.14058975|-35.27636572
3006436953|2012-11-05||GAACT715698506|FCS|149.06637876|-35.40172075
3006436956|2012-11-05||GAACT715058591|FCS|149.1149989|-35.1947613
3006433254|2012-11-05||GAACT714924295|FCS|149.10070623|-35.44470522
3006433256|2012-11-05||GAACT714924146|FCS|149.10016363|-35.44502116
3006433258|2012-11-05||GAACT714904375|FCS|149.1049739|-35.17030708
3006433260|2012-11-05||GAACT714854534|FCS|149.08548127|-35.44553718
3006433261|2012-11-05||GAACT714875096|FCS|149.04849507|-35.24304532
3006433264|2012-11-05||GAACT714879725|FCS|149.16146128|-35.28918301
3006433265|2012-11-05||GAACT714887253|FCS|149.16187286|-35.2885356
3006433268|2012-11-05||GAACT714887260|FCS|149.16185777|-35.28796794
3006433271|2012-11-05||GAACT714916557|FCS|149.10679703|-35.44423847
3006433272|2012-11-05||GAACT714917373|FCS|149.10712337|-35.44407952
3006433274|2012-11-05||GAACT714907722|FCS|149.10642987|-35.16673883
3006433275|2012-11-05||GAACT715183148|FCS|149.16624978|-35.39387633
3006433278|2012-11-05||GAACT714961777|FCS|149.08799731|-35.17920145
3006433279|2012-11-05||GAACT715700692|FCS|149.11813792|-35.37623595
3006433281|2012-11-05||GAACT715705312|FCS|149.16741904|-35.38943813
3006433283|2012-11-05||GAACT714875525|FCS|149.15633859|-35.28424421
