ADDRESS_DETAIL_PID|DATE_CREATED|DATE_LAST_MODIFIED|DATE_RETIRED|BUILDING_NAME|LOT_NUMBER_PREFIX|LOT_NUMBER|LOT_NUMBER_SUFFIX|FLAT_TYPE_CODE|FLAT_NUMBER_PREFIX|FLAT_NUMBER|FLAT_NUMBER_SUFFIX|LEVEL_TYPE_CODE|LEVEL_NUMBER_PREFIX|LEVEL_NUMBER|LEVEL_NUMBER_SUFFIX|NUMBER_FIRST_PREFIX|NUMBER_FIRST|NUMBER_FIRST_SUFFIX|NUMBER_LAST_PREFIX|NUMBER_LAST|NUMBER_LAST_SUFFIX|STREET_LOCALITY_PID|LOCATION_DESCRIPTION|LOCALITY_PID|ALIAS_PRINCIPAL|POSTCODE|PRIVATE_STREET|LEGAL_PARCEL_ID|CONFIDENCE|ADDRESS_SITE_PID|LEVEL_GEOCODED_CODE|PROPERTY_PID|GNAF_PROPERTY_PID|PRIMARY_SECONDARY
GAACT714892251|2004-04-29|2021-07-05|||||||||||||||6|||||ACT199||loc8af26acb532d|P|2602||CANB/AINS/20/2|2|710485708|7||78970|
GAACT714879649|2004-04-29|2021-07-05|||||||||||||||7|||||ACT199||loc8af26acb532d|P|2602||CANB/AINS/81/13|2|710482478|7||91730|
GAACT714890472|2004-04-29|2021-07-05|||||||||||||||8|||||ACT199||loc8af26acb532d|P|2602||CANB/AINS/20/3|2|710485207|7||78990|
GAACT714879648|2004-04-29|2021-07-05|||||||||||||||9|||||ACT199||loc8af26acb532d|P|2602||CANB/AINS/81/12|2|710482477|7||91720|
GAACT714872255|2004-04-29|2021-07-05|||||||||||||||1|||||ACT200||loc8af26acb532d|P|2602||CANB/AINS/4/12|2|710484030|7||75880|
GAACT714888042|2004-04-29|2021-07-05|||||||||||||||3|||||ACT201||loc8af26acb532d|P|2602||CANB/AINS/73/6|2|710484694|7||88360|
GAACT714893047|2004-04-29|2021-07-05|||||||||||||||4|||||ACT201||loc8af26acb532d|P|2602||CANB/AINS/72/14|2|710485865|7||1062273|
GAACT714963664|2004-04-29|2021-07-05|||||||||||||||10|||||ACT202||loc8af26acb532d|P|2602||CANB/AINS/74/122|2|710563937|7||1051921|
GAACT714882046|2004-04-29|2021-07-05|||||||||||||||2|||||ACT202||loc8af26acb532d|P|2602||CANB/AINS/74/118|2|710479763|7||1053231|
GAACT714882057|2004-04-29|2021-07-05|||||||||||||||3|||||ACT202||loc8af26acb532d|P|2602||CANB/AINS/74/127|2|710479774|7||1061670|
GAACT718660333|2016-10-25|2024-08-01||NISHI||||UNIT||1107|||||||25|||||ACT427||loc33842a57b6f5|P|2601||CANB/CITY/106/40|2|714044470|7||1101344|S
GAACT714882048|2004-04-29|2021-07-05|||||||||||||||4|||||ACT202||loc8af26acb532d|P|2602||CANB/AINS/74/119|2|710479765|7||1051920|
GAACT714882050|2004-04-29|2021-07-05|||||||||||||||6|||||ACT202||loc8af26acb532d|P|2602||CANB/AINS/74/120|2|710479767|7||1053232|
GAACT714882052|2004-04-29|2021-07-05|||||||||||||||8|||||ACT202||loc8af26acb532d|P|2602||CANB/AINS/74/121|2|710479769|7||1068216|
GAACT714882054|2004-04-29|2021-07-05|||||||||||||||9|||||ACT202||loc8af26acb532d|P|2602||CANB/AINS/74/124|2|710479771|7||1053233|
GAACT714888884|2004-04-29|2021-07-05|||||||||||||||10|||||ACT203||loc8af26acb532d|P|2602||CANB/AINS/23/9|2|710484897|7||80240|
GAACT714892257|2004-04-29|2021-07-05|||||||||||||||11|||||ACT203||loc8af26acb532d|P|2602||CANB/AINS/25/21|2|710485714|7||81170|
GAACT714892255|2004-04-29|2021-07-05|||||||||||||||13|||||ACT203||loc8af26acb532d|P|2602||CANB/AINS/25/20|2|710485712|7||81150|
GAACT714883934|2004-04-29|2021-07-05|||||||||||||||14|||||ACT203||loc8af26acb532d|P|2602||CANB/AINS/23/20|2|710483568|7||80500|
GAACT714892253|2004-04-29|2021-07-05|||||||||||||||15|||||ACT203||loc8af26acb532d|P|2602||CANB/AINS/25/19|2|710485710|7||81130|
