ADDRESS_FEATURE_ID|ADDRESS_FEATURE_PID|ADDRESS_DETAIL_PID|DATE_ADDRESS_DETAIL_CREATED|DATE_ADDRESS_DETAIL_RETIRED|ADDRESS_CHANGE_TYPE_CODE
ACT449726|AFACT544388|GAACT718591765|2023-07-23|2025-07-20|
ACT449727|AFACT544389|GAACT718968322|2023-07-23|2025-07-20|
ACT449728|AFACT544390|GAACT719055973|2023-07-22|2025-07-20|
ACT449729|AFACT544391|GAACT718968309|2023-07-22|2025-07-20|
ACT449730|AFACT544392|GAACT718968317|2023-07-23|2025-07-20|
ACT449731|AFACT544393|GAACT718591758|2023-07-22|2025-07-20|
ACT449732|AFACT544394|GAACT718591771|2023-07-23|2025-07-20|
ACT449733|AFACT544395|GAACT718591832|2023-07-22|2025-07-20|
ACT449734|AFACT544396|GAACT719056600|2023-07-23|2025-07-20|
ACT449735|AFACT544397|GAACT718968312|2023-07-23|2025-07-20|
ACT449736|AFACT544398|GAACT718968311|2023-07-23|2025-07-20|
ACT449737|AFACT544399|GAACT718968314|2023-07-22|2025-07-20|
ACT449738|AFACT544400|GAACT718968391|2023-07-23|2025-07-20|
ACT449739|AFACT544401|GAACT718591836|2023-07-23|2025-07-20|
ACT449740|AFACT544402|GAACT718968327|2023-07-22|2025-07-20|
ACT449741|AFACT544403|GAACT718591833|2023-07-23|2025-07-20|
ACT449742|AFACT544404|GAACT719059332|2023-07-23|2025-07-20|
ACT449743|AFACT544405|GAACT719057980|2023-07-23|2025-07-20|
ACT449744|AFACT544406|GAACT718968403|2023-07-23|2025-07-20|
ACT449745|AFACT544407|GAACT718968320|2023-07-22|2025-07-20|
ACT449746|AFACT544408|GAACT718591770|2023-07-22|2025-07-20|
ACT449747|AFACT544409|GAACT718591768|2023-07-22|2025-07-20|
ACT449748|AFACT544410|GAACT719059343|2023-07-22|2025-07-20|
ACT449749|AFACT544411|GAACT719059340|2023-07-22|2025-07-20|
ACT449750|AFACT544412|GAACT719058650|2023-07-22|2025-07-20|
ACT449751|AFACT544413|GAACT718968325|2023-07-22|2025-07-20|
ACT449752|AFACT544414|GAACT718968326|2023-07-23|2025-07-20|
ACT449753|AFACT544415|GAACT719059342|2023-07-22|2025-07-20|
ACT449754|AFACT544416|GAACT718968449|2023-07-23|2025-07-20|
ACT449755|AFACT544417|GAACT718968318|2023-07-22|2025-07-20|
ACT449756|AFACT544418|GAACT718591767|2023-07-22|2025-07-20|
ACT449757|AFACT544419|GAACT718669906|2023-07-23|2025-07-20|
ACT449758|AFACT544420|GAACT719057291|2023-07-22|2025-07-20|
ACT449759|AFACT544421|GAACT719060612|2023-07-22|2025-07-20|
ACT449760|AFACT544422|GAACT719056613|2023-07-22|2025-07-20|
ACT449761|AFACT544423|GAACT718968379|2023-07-23|2025-07-20|
ACT449762|AFACT544424|GAACT718968313|2023-07-23|2025-07-20|
ACT449763|AFACT544425|GAACT718968447|2023-07-23|2025-07-20|
ACT449764|AFACT544426|GAACT719057978|2023-07-22|2025-07-20|
ACT449765|AFACT544427|GAACT718591834|2023-07-23|2025-07-20|
ACT449766|AFACT544428|GAACT719057272|2023-07-23|2025-07-20|
ACT449767|AFACT544429|GAACT718968308|2023-07-23|2025-07-20|
ACT449768|AFACT544430|GAACT718968305|2023-07-22|2025-07-20|
ACT449769|AFACT544431|GAACT718968315|2023-07-23|2025-07-20|
ACT449770|AFACT544432|GAACT718968367|2023-07-23|2025-07-20|
ACT449771|AFACT544433|GAACT719056615|2023-07-22|2025-07-20|
ACT449772|AFACT544434|GAACT718968306|2023-07-23|2025-07-20|
ACT449773|AFACT544435|GAACT718968427|2023-07-22|2025-07-20|
ACT449774|AFACT544436|GAACT719060623|2023-07-22|2025-07-20|
ACT449775|AFACT544437|GAACT718591766|2023-07-22|2025-07-20|
ACT449776|AFACT544438|GAACT718968316|2023-07-22|2025-07-20|
ACT449777|AFACT544439|GAACT718968321|2023-07-23|2025-07-20|
ACT449778|AFACT544440|GAACT718968328|2023-07-23|2025-07-20|
ACT449779|AFACT544441|GAACT718593205|2013-10-28|2025-07-20|
ACT449780|AFACT544374|GAACT721832147|2025-07-20||LVN
ACT449781|AFACT544375|GAACT721832195|2025-07-20||LVN
ACT271001|AFACT480001|GAACT720406330|2020-07-10|2021-07-21|
ACT271002|AFACT480002|GAACT718682238|2014-07-17|2021-07-21|
ACT271003|AFACT480003|GAACT718682237|2014-07-17|2021-07-21|
ACT271004|AFACT480004|GAACT718682239|2014-07-17|2021-07-21|
ACT271005|AFACT480005|GAACT720407354|2020-07-10|2021-07-21|
ACT271006|AFACT480006|GAACT718682241|2014-07-17|2021-07-21|
