ADDRESS_MESH_BLOCK_2016_PID|DATE_CREATED|DATE_RETIRED|ADDRESS_DETAIL_PID|MB_MATCH_CODE|MB_2016_PID
ACT1547491087|2016-08-09||GAACT714846378|1|MB1680006200000
ACT1547491088|2016-08-09||GAACT714846379|1|MB1680006380000
ACT1547491089|2016-08-09||GAACT714846380|1|MB1680006200000
ACT1547491090|2016-08-09||GAACT714846381|1|MB1680006380000
ACT1547491091|2016-08-09||GAACT714846382|1|MB1680006200000
ACT1547491092|2016-08-09||GAACT714846384|1|MB1680006200000
ACT1547492759|2016-08-09||GAACT714848192|1|MB1680006280000
ACT1547492760|2016-08-09||GAACT714848193|1|MB1680006480000
ACT1547492761|2016-08-09||GAACT714848194|1|MB1680006170000
ACT1547492762|2016-08-09||GAACT714848196|1|MB1680006170000
ACT1547492763|2016-08-09||GAACT714848197|1|MB1680006480000
ACT1547492764|2016-08-09||GAACT714848198|1|MB1680006480000
ACT1547492765|2016-08-09||GAACT714848199|1|MB1680006170000
ACT1547492766|2016-08-09||GAACT714848200|1|MB1680006280000
ACT1547492767|2016-08-09||GAACT714848202|1|MB1680006480000
ACT1547492768|2016-08-09||GAACT714848203|1|MB1680006170000
ACT1547492769|2016-08-09||GAACT714848205|1|MB1680006170000
ACT1547492770|2016-08-09||GAACT714848206|1|MB1680006480000
ACT1547492771|2016-08-09||GAACT714848207|1|MB1680006170000
ACT1547492772|2016-08-09||GAACT714848208|1|MB1680006480000
