ADDRESS_SITE_GEOCODE_PID|DATE_CREATED|DATE_RETIRED|ADDRESS_SITE_PID|GEOCODE_SITE_NAME|GEOCODE_SITE_DESCRIPTION|GEOCODE_TYPE_CODE|RELIABILITY_CODE|BOUNDARY_EXTENT|PLANIMETRIC_ACCURACY|ELEVATION|LONGITUDE|LATITUDE
16066837|2012-11-05||710482626|||FCS|2||||149.15229498|-35.26065222
16066838|2012-11-05||710482628|||FCS|2||||149.15278098|-35.26074273
16066839|2012-11-05||710482605|||FCS|2||||149.15270482|-35.26035645
16066840|2012-11-05||710485690|||FCS|2||||149.15763883|-35.2553464
16066841|2012-11-05||710485654|||FCS|2||||149.15343825|-35.26024423
16066842|2012-11-05||710485688|||FCS|2||||149.15798295|-35.2550608
16066843|2012-11-05||710485787|||FCS|2||||149.15319729|-35.25986088
16066844|2012-11-05||710485789|||FCS|2||||149.15331408|-35.25970555
16066845|2012-11-05||710485652|||FCS|2||||149.15375733|-35.25984189
16066846|2012-11-05||710564975|||FCS|2||||149.15384211|-35.25972319
16066847|2012-11-05||710514083|||FCS|2||||149.15856873|-35.2543562
16066848|2012-11-05||710517159|||FCS|2||||149.15871679|-35.2541372
16066849|2012-11-05||710486293|||FCS|2||||149.15352402|-35.2593322
16066850|2012-11-05||710479999|||FCS|2||||149.14783336|-35.26900721
16066851|2012-11-05||710513101|||FCS|2||||149.15839965|-35.25378227
16066852|2012-11-05||710483591|||FCS|2||||149.15405109|-35.2593138
16066853|2012-11-05||710513099|||FCS|2||||149.15799989|-35.25362713
16066854|2012-11-05||710484278|||FCS|2||||149.15370052|-35.25894142
16066855|2012-11-05||710516808|||FCS|2||||149.157811|-35.25354937
16066856|2012-11-05||710452377|||FCS|2||||149.12782914|-35.17398239
