ADDRESS_SITE_PID|DATE_CREATED|DATE_RETIRED|ADDRESS_TYPE|ADDRESS_SITE_NAME
710572499|2004-03-04||UN|
710552228|2004-03-04||UN|
710457515|2004-03-04||UN|
710561545|2004-03-04||UN|
710453429|2004-03-04||UN|
710453443|2004-03-04||UN|
710453444|2004-03-04||UN|
710453299|2004-03-04||UN|
710541846|2004-03-04||UN|
710470089|2004-03-04||UN|
710452091|2004-03-04||UN|
710452090|2004-03-04||UN|
710451058|2004-03-04||UN|
710451056|2004-03-04||UN|
710451055|2004-03-04||UN|
710451054|2004-03-04||UN|
710483642|2004-03-04||UN|
710483623|2004-03-04||UN|
710479073|2004-03-04||UN|
710482475|2004-03-04||UN|
