LOCALITY_ALIAS_PID|DATE_CREATED|DATE_RETIRED|LOCALITY_PID|NAME|POSTCODE|ALIAS_TYPE_CODE|STATE_PID
441643|2021-08-19||loc04da2b1c5df3|STROMLO DISTRICT||SYN|8
444141|2021-08-19||loc1ceb9296431e|STRATHNAIRN||SYN|8
435465|2021-08-19||loc084a7a1ebc7c|CAPITAL HILL||SYN|8
384196|2021-08-19||locfc019324c56a|MAJURA||SYN|8
428390|2021-08-19||locd9acdbc66ea4|BELCONNEN||SYN|8
428404|2021-08-19||locc03757f857d8|BELCONNEN||SYN|8
428426|2021-08-19||loc352afb4acd65|CANBERRA CENTRAL||SYN|8
428431|2021-08-19||loc8f588bed0f99|CANBERRA CENTRAL||SYN|8
428445|2021-08-19||loc9f73ed1cc745|JERRABOMBERRA||SYN|8
24701|2021-08-19||loc76530ec5e234|SWINGER HILL||SYN|8
426463|2021-08-19||loc9214a5c48267|BELCONNEN||SYN|8
428428|2021-08-19||loc2d478a78b85c|CANBERRA CENTRAL||SYN|8
428451|2021-08-19||loc76cc01c04bd2|TUGGERANONG||SYN|8
428452|2021-08-19||loc499281085d2f|TUGGERANONG||SYN|8
428465|2021-08-19||locf7df36fc3011|TUGGERANONG||SYN|8
428478|2021-08-19||loca2506d3db917|WESTON CREEK||SYN|8
428464|2021-08-19||loc21a5aaa3c530|TUGGERANONG||SYN|8
429084|2022-11-15||loc9ced31cf83bc|PIERCES CREEK||SYN|8
428446|2021-08-19||loc20cb3ad1b2bb|JERRABOMBERRA||SYN|8
433750|2025-01-30||locbfa28bdaa9d6|WESTON||SYN|8
24775|2024-11-04||loc243c990388a1|WILLIAMSDALE||SYN|8
454500|2023-02-05||loc1d68be2e1b28|GUNGAHLIN||SYN|8
440704|2021-08-19||locdc5b101242c9|MOLONGLO VALLEY||SYN|8
428563|2021-08-19||loceaaa593ac6d0|CRACE||SYN|8
24764|2021-08-19||loc8917aee2e00a|GINNINDERRA VILLAGE||SYN|8
177435|2021-08-19||loc084a7a1ebc7c|GRIFFITH||SYN|8
428419|2021-08-19||loc4453cee2a1d2|CANBERRA CENTRAL||SYN|8
428420|2021-08-19||loc084a7a1ebc7c|CANBERRA CENTRAL||SYN|8
428424|2021-08-19||locfd79aaa844e6|CANBERRA CENTRAL||SYN|8
428449|2021-08-19||loca2a615764089|MAJURA||SYN|8
428460|2021-08-19||loc76b537d47ac6|TUGGERANONG||SYN|8
428466|2021-08-19||loc4f0d478ab62b|TUGGERANONG||SYN|8
428429|2021-08-19||loc6d18decab1db|CANBERRA CENTRAL||SYN|8
428433|2021-08-19||loca2a615764089|CANBERRA CENTRAL||SYN|8
428440|2021-08-19||locf97341d6b4d6|GUNGAHLIN||SYN|8
457234|2026-01-31||loc243c990388a1|THARWA||SYN|8
428479|2021-08-19||loc23eefe8d3c05|WESTON CREEK||SYN|8
