LOCALITY_NEIGHBOUR_PID|DATE_CREATED|DATE_RETIRED|LOCALITY_PID|NEIGHBOUR_LOCALITY_PID
356309|2021-07-09||loc6d18decab1db|loc75bfec762843
356311|2021-07-09||loc6d18decab1db|loc25c63e2f014a
356312|2021-07-09||loc6d18decab1db|loc6b5dbb714013
356313|2021-07-09||loc6d18decab1db|loc352afb4acd65
356314|2021-07-09||loc6d18decab1db|loc5c64d9927907
356315|2021-07-09||loc537c3f114213|loc8af26acb532d
356316|2021-07-09||loc537c3f114213|locb69fa0a9f0f8
356317|2021-07-09||loc537c3f114213|locf8f046cc1ca6
356318|2021-07-09||loc537c3f114213|loc33842a57b6f5
356319|2021-07-09||loc536018ebe64c|locccfa418887a3
356320|2021-07-09||loc536018ebe64c|loc32435b9b0bed
356321|2021-07-09||loc536018ebe64c|locf79445c447e9
356322|2021-07-09||locec9c7e4ab95b|locfb58100d47ae
356323|2021-07-09||locec9c7e4ab95b|loca067483f913f
356325|2021-07-09||locec9c7e4ab95b|locef34e4cfad08
356326|2021-07-09||locec9c7e4ab95b|locf7df36fc3011
356327|2021-07-09||locec9c7e4ab95b|loc76092f4a8a2d
356328|2021-07-09||locec9c7e4ab95b|loc243c990388a1
356329|2021-07-09||loc38035c6f5969|loc61a9abd62c81
356330|2021-07-09||loc38035c6f5969|loc70656c3c97c8
356331|2021-07-09||loc38035c6f5969|loc5a74721a608f
356332|2021-07-09||loc8f588bed0f99|loc3c05059f862a
356333|2021-07-09||loc8f588bed0f99|locf8f046cc1ca6
356334|2021-07-09||loc8f588bed0f99|loc2d478a78b85c
356335|2021-07-09||loc2eff7d17cff4|loc9214a5c48267
356336|2021-07-09||loc2eff7d17cff4|loc3b6d93713dae
356337|2021-07-09||loc2eff7d17cff4|loc422f986f5580
356339|2021-07-09||locdb80130c8c9a|loc0864be1bd999
356340|2021-07-09||locdb80130c8c9a|locc5b840a6d99a
356341|2021-07-09||loc5a74721a608f|loc04da2b1c5df3
356342|2021-07-09||loc5a74721a608f|locd7100d0bd0d9
356343|2021-07-09||loc5a74721a608f|loc70656c3c97c8
356344|2021-07-09||loc5a74721a608f|loc4c5c9bbd8300
356345|2021-07-09||loc5a74721a608f|loca2506d3db917
356347|2021-07-09||locb52e3380119f|loc1ceb9296431e
356348|2021-07-09||locb52e3380119f|loc7ff066c49e42
356350|2021-07-09||loc9ced31cf83bc|loc04da2b1c5df3
356351|2021-07-09||loc9ced31cf83bc|loc44258c8939e7
356352|2021-07-09||loc9ced31cf83bc|loc6b7d1480d0be
356353|2021-07-09||loc9ced31cf83bc|loc61a9abd62c81
356354|2021-07-09||loc9ced31cf83bc|loc9a9996a0edaf
356355|2021-07-09||loc9ced31cf83bc|loc243c990388a1
356356|2021-07-09||loc9ced31cf83bc|loc23eefe8d3c05
356357|2021-07-09||loc889de2a5f611|loc9f4297137f66
356358|2021-07-09||loc889de2a5f611|loc5450e47bba5c
356359|2021-07-09||loc889de2a5f611|loc352afb4acd65
356360|2021-07-09||loc889de2a5f611|loc5c64d9927907
356361|2021-07-09||loc889de2a5f611|loc6d18decab1db
356362|2021-07-09||loc727faf3216b7|loc8181f76984e5
356363|2021-07-09||loc727faf3216b7|loc0a721e1b7131
356364|2021-07-09||loc727faf3216b7|locd1f3e8552073
356365|2021-07-09||locc43d6024f1b5|loc32435b9b0bed
356366|2021-07-09||locc43d6024f1b5|loc9a9996a0edaf
356367|2021-07-09||locc43d6024f1b5|loc536018ebe64c
356368|2021-07-09||locc43d6024f1b5|loc243c990388a1
356369|2021-07-09||locec3196d56b44|loc9a9996a0edaf
356370|2021-07-09||locec3196d56b44|locc43d6024f1b5
356371|2021-07-09||loc76092f4a8a2d|locfb58100d47ae
356372|2021-07-09||loc76092f4a8a2d|loc7db6d073b6c8
356373|2021-07-09||loc76092f4a8a2d|locec9c7e4ab95b
356374|2021-07-09||locb45cb4e23fdd|loc2491e3a476a6
356375|2021-07-09||locb45cb4e23fdd|loc8181f76984e5
356376|2021-07-09||locb45cb4e23fdd|locdb0d3d9b68c2
356377|2021-07-09||loc4b9ab4f61497|loc4c97ea51ef8e
356378|2021-07-09||loc4b9ab4f61497|loccb36ca0afef4
356379|2021-07-09||loc4b9ab4f61497|loc243c990388a1
356381|2021-07-09||loc243c990388a1|locfb58100d47ae
356382|2021-07-09||loc243c990388a1|loc04da2b1c5df3
356383|2021-07-09||loc243c990388a1|loca067483f913f
356384|2021-07-09||loc243c990388a1|loc7145338fb425
356385|2021-07-09||loc243c990388a1|locdef188dd7508
356386|2021-07-09||loc243c990388a1|locd7100d0bd0d9
356387|2021-07-09||loc243c990388a1|loc9918d6329a8c
356388|2021-07-09||loc243c990388a1|loc76b537d47ac6
356389|2021-07-09||loc243c990388a1|loc9f73ed1cc745
356390|2021-07-09||loc243c990388a1|locf0a98c62e8d7
356391|2021-07-09||loc243c990388a1|loc104c1f495a4a
356392|2021-07-09||loc243c990388a1|loc21a5aaa3c530
356393|2021-07-09||loc243c990388a1|loc9a9996a0edaf
356395|2021-07-09||loc243c990388a1|loc9ced31cf83bc
356396|2021-07-09||loc243c990388a1|locc43d6024f1b5
356397|2021-07-09||loc243c990388a1|locec3196d56b44
356398|2021-07-09||loc243c990388a1|loc4b9ab4f61497
356399|2021-07-09||loc243c990388a1|loc30ca19345194
356400|2021-07-09||loc243c990388a1|loc783fea50e5db
356401|2021-07-09||loc2011930fedea|locb69fa0a9f0f8
356402|2021-07-09||loc2011930fedea|loc33842a57b6f5
356403|2021-07-09||loc2011930fedea|loc07b50843638a
356404|2021-07-09||loc2011930fedea|locf591777ee457
356405|2021-07-09||loc4123c621f9ad|loc44258c8939e7
356406|2021-07-09||loc30ca19345194|loc7145338fb425
356407|2021-07-09||loc30ca19345194|loc76b537d47ac6
356408|2021-07-09||loc30ca19345194|loc104c1f495a4a
356410|2021-07-09||loc30ca19345194|loc243c990388a1
356411|2021-07-09||loc4c5c9bbd8300|loc0c59375a43a9
356412|2021-07-09||loc4c5c9bbd8300|locd7100d0bd0d9
356413|2021-07-09||loc4c5c9bbd8300|locd3982917aea6
356414|2021-07-09||loc4c5c9bbd8300|loca2506d3db917
356415|2021-07-09||loc4c5c9bbd8300|loc783fea50e5db
356416|2021-07-09||loca2a615764089|locad3be5bd3883
356417|2021-07-09||loca2a615764089|loc4453cee2a1d2
356419|2021-07-09||loca2a615764089|locffc19e1eaa45
356420|2021-07-09||loca2a615764089|loc8be74d6ce0b7
356421|2021-07-09||loc307aecd0ead2|locbe99ca15a529
356424|2021-07-09||loc307aecd0ead2|loc7e0e418976bc
356425|2021-07-09||loc307aecd0ead2|loc0dc356399bc7
356426|2021-07-09||loca2506d3db917|loc26228ac5fc51
356427|2021-07-09||loca2506d3db917|loc1f257ff2a115
356428|2021-07-09||loca2506d3db917|loc70656c3c97c8
356429|2021-07-09||loca2506d3db917|locbfa28bdaa9d6
356430|2021-07-09||loca2506d3db917|loc38035c6f5969
356431|2021-07-09||loca2506d3db917|loc5a74721a608f
356432|2021-07-09||loc8af26acb532d|loc07b50843638a
356433|2021-07-09||locf0cacaa1119e|locebceb5519da7
356434|2021-07-09||locf0cacaa1119e|locd1f3e8552073
356435|2021-07-09||locf94248966b6c|loccb486d174769
356436|2021-07-09||locf94248966b6c|loc7e0e418976bc
356437|2021-07-09||loc3c05059f862a|locf8f046cc1ca6
356438|2021-07-09||loc3c05059f862a|loc4d979cf6e3c5
356439|2021-07-09||locbe99ca15a529|locf94248966b6c
356440|2021-07-09||locbe99ca15a529|loc332265c0f026
356441|2021-07-09||locbe99ca15a529|loc307aecd0ead2
356442|2021-07-09||loc499281085d2f|locfb58100d47ae
356443|2021-07-09||loc499281085d2f|locf7df36fc3011
356444|2021-07-09||locccfa418887a3|locc43d6024f1b5
356445|2021-07-09||locb69fa0a9f0f8|loc07b50843638a
356446|2021-07-09||loccb486d174769|locbe99ca15a529
356447|2021-07-09||loccb486d174769|loc006d05c87d16
356448|2021-07-09||locfb58100d47ae|loc7db6d073b6c8
356449|2021-07-09||locfb58100d47ae|loc76092f4a8a2d
356450|2021-07-09||locf8f046cc1ca6|locb69fa0a9f0f8
356451|2021-07-09||locf8f046cc1ca6|loc537c3f114213
356452|2021-07-09||loceae77f35464f|loc3c05059f862a
356453|2021-07-09||loceae77f35464f|loc88b5fdc468e0
356454|2021-07-09||loc4ef606e2b7dc|loc727faf3216b7
356455|2021-07-09||loc04da2b1c5df3|loc5a74721a608f
356456|2021-07-09||loc0c59375a43a9|loc4c5c9bbd8300
356457|2021-07-09||loca067483f913f|loc96bd19966598
356458|2021-07-09||loca067483f913f|loc243c990388a1
356459|2021-07-09||loc33842a57b6f5|loc2011930fedea
356460|2021-07-09||loc7db6d073b6c8|loc76092f4a8a2d
356461|2021-07-09||locd9acdbc66ea4|loc7e0e418976bc
356462|2021-07-09||loc26228ac5fc51|loc70656c3c97c8
356463|2021-07-09||loc26228ac5fc51|loc23eefe8d3c05
356464|2021-07-09||loc32435b9b0bed|locc43d6024f1b5
356465|2021-07-09||locf97341d6b4d6|loc8917aee2e00a
356466|2021-07-09||loc1f257ff2a115|locd3982917aea6
356467|2021-07-09||loc1f257ff2a115|loc88b5fdc468e0
356468|2021-07-09||loc75bfec762843|loc6b5dbb714013
356469|2021-07-09||loc6b7d1480d0be|loc26228ac5fc51
356470|2021-07-09||loc6b7d1480d0be|loc23eefe8d3c05
356471|2021-07-09||loc07b50843638a|locffc19e1eaa45
356472|2021-07-09||loc4453cee2a1d2|loc07b50843638a
356473|2021-07-09||loc61a9abd62c81|loc04da2b1c5df3
356474|2021-07-09||loc61a9abd62c81|loc9ced31cf83bc
356475|2021-07-09||loc26d7ad45c249|locc5b840a6d99a
356476|2021-07-09||loc0864be1bd999|locf1a7d09b8303
356477|2021-07-09||loc7145338fb425|loc96bd19966598
356478|2021-07-09||loc7145338fb425|loc243c990388a1
356479|2021-07-09||locdef188dd7508|loc4b9ab4f61497
356480|2021-07-09||loc7e0e418976bc|locf94248966b6c
356481|2021-07-09||loc7e0e418976bc|locd9acdbc66ea4
356482|2021-07-09||loc8be74d6ce0b7|locf8f046cc1ca6
356483|2021-07-09||loc8be74d6ce0b7|locffc19e1eaa45
356484|2021-07-09||loc8be74d6ce0b7|locfc019324c56a
356485|2021-07-09||loc4c97ea51ef8e|loccb36ca0afef4
356487|2021-07-09||locc03757f857d8|loc0864be1bd999
