LOCALITY_POINT_PID|DATE_CREATED|DATE_RETIRED|LOCALITY_PID|PLANIMETRIC_ACCURACY|LONGITUDE|LATITUDE
500219651|2021-08-17||loc2d478a78b85c||149.13374555|-35.29827414
500219578|2021-08-17||loc3c05059f862a||149.13909455|-35.30679814
500223394|2018-08-03||500223394||149.13333557|-35.18331714
500223393|2021-11-12||500223393||149.00554509|-35.25501614
500219661|2021-08-17||locdb80130c8c9a||149.0643819|-35.19872474
16239412|2021-08-17||locf0a98c62e8d7||149.11558172|-35.36865444
16239420|2021-08-17||locc03757f857d8||149.05415306|-35.21007373
16239426|2021-08-17||locfc019324c56a||149.18567821|-35.31267848
16239428|2021-08-17||loc537c3f114213||149.1411897|-35.28259189
16239440|2021-08-17||loc2011930fedea||149.1245409|-35.26886875
16239340|2021-08-17||loceaaa593ac6d0||149.1091855|-35.22772584
16239441|2021-08-17||loc7145338fb425||149.11756122|-35.40188515
500223419|2021-08-17||locb45cb4e23fdd||149.16176998|-35.18894697
500223134|2021-08-17||loca5dacbe1db50||149.21045705|-35.3417134
500223278|2021-08-17||loc4123c621f9ad||148.92461462|-35.29636428
500219659|2021-08-17||loc8f588bed0f99||149.15022424|-35.29798451
500219640|2021-08-17||loce80d5af0cc60||149.13636624|-35.21888644
500219642|2021-08-17||loc352afb4acd65||149.14924366|-35.33568517
500219573|2021-08-17||loc6f02f098e82d||149.11294842|-35.2851906
16239348|2021-08-17||loc32435b9b0bed||148.83772007|-35.51665674
16239439|2021-08-17||loc1c54ec83b5f8||149.11942486|-35.19445184
16239345|2021-08-17||locba032712915d||149.03413643|-35.20017407
16239351|2021-08-17||loc9f4297137f66||149.17085336|-35.32166854
16239352|2021-08-17||locc6d1341f9b60||149.09593268|-35.21086515
16239353|2021-08-17||locca284055ddcf||149.10904923|-35.41186353
16239354|2021-08-17||loc9214a5c48267||149.03667585|-35.24701536
16239355|2021-08-17||loc3b6d93713dae||149.02724162|-35.23239274
16239359|2021-08-17||locf7df36fc3011||149.09064239|-35.41575108
16239360|2021-08-17||loc8917aee2e00a||149.09648613|-35.18714629
16239363|2021-08-17||loc4f0d478ab62b||149.07860242|-35.40949895
16239365|2021-08-17||locec9c7e4ab95b||149.11384419|-35.42789882
16239366|2021-08-17||loc38035c6f5969||149.03792345|-35.34707288
16239372|2021-08-17||locc5b840a6d99a||149.04534362|-35.19168921
16239373|2021-08-17||locffc19e1eaa45||149.16348235|-35.24953619
16239376|2021-08-17||loc0dc356399bc7||149.04994254|-35.2385364
16239378|2021-08-17||loc307aecd0ead2||149.04974082|-35.25009843
16239380|2021-08-17||loc8af26acb532d||149.14793004|-35.26216963
16239382|2021-08-17||loc76cc01c04bd2||149.09965803|-35.47192351
16239384|2021-08-17||loc499281085d2f||149.07824532|-35.43324423
16239386|2021-08-17||loccb486d174769||149.09163692|-35.24534256
16239387|2021-08-17||locfb58100d47ae||149.10712254|-35.44039856
16239390|2021-08-17||loca067483f913f||149.12479923|-35.42201572
16239391|2021-08-17||loc7db6d073b6c8||149.10426774|-35.45928673
16239392|2021-08-17||loc1f257ff2a115||149.07737462|-35.32462314
16239393|2021-08-17||loc75bfec762843||149.10317139|-35.31918115
16239394|2021-08-17||loc4453cee2a1d2||149.14350778|-35.24384717
500220138|2021-08-17||loc5450e47bba5c||149.15879183|-35.36591446
500220140|2026-01-31||loc8be74d6ce0b7||149.21347343|-35.27000537
500220134|2025-08-03||loc44258c8939e7||148.90836447|-35.28643049
500219585|2021-08-17||loceae77f35464f||149.12444045|-35.30816646
500219605|2021-08-17||loc084a7a1ebc7c||149.12483413|-35.31720526
500220132|2025-08-03||locccfa418887a3||149.04394902|-35.7206515
500223726|2021-08-17||locdc5b101242c9||149.03593218|-35.27704162
