LOCALITY_PID|DATE_CREATED|DATE_RETIRED|LOCALITY_NAME|PRIMARY_POSTCODE|LOCALITY_CLASS_CODE|STATE_PID|GNAF_LOCALITY_PID|GNAF_RELIABILITY_CODE
500223393|2015-08-04||BELCONNEN||T|8|500223393|6
500223394|2015-08-04||GUNGAHLIN||T|8|500223394|6
loc7ff066c49e42|2021-07-07||MACNAMARA||G|8|500223579|5
loc084a7a1ebc7c|2021-07-07||FORREST||G|8|500219605|5
loc32435b9b0bed|2021-07-06||COTTER RIVER||D|8|500220135|5
loce80d5af0cc60|2021-07-06||MITCHELL||G|8|500219640|5
locf8f046cc1ca6|2021-07-07||CAMPBELL||G|8|500219584|5
locf0a98c62e8d7|2021-07-07||ISAACS||G|8|500219625|5
loc6f02f098e82d|2021-07-07||ACTON||G|8|500219573|5
loceae77f35464f|2021-07-07||CAPITAL HILL||G|8|500219585|5
locebceb5519da7|2021-07-07||BONNER||G|8|500223038|5
locf0cacaa1119e|2021-07-07||AMAROO||G|8|500219575|5
loc4b9ab4f61497|2021-07-06||TORRENS||G|8|500219666|5
loc2011930fedea|2021-07-06||TURNER||G|8|500219667|5
locf1a7d09b8303|2021-07-07||MCKELLAR||G|8|500219638|5
loccb486d174769|2021-07-07||BRUCE||G|8|500219582|5
loc4c97ea51ef8e|2021-07-07||MAWSON||G|8|500219637|5
loc006d05c87d16|2021-07-07||LYNEHAM||G|8|500219632|5
loc38035c6f5969|2021-07-07||RIVETT||G|8|500219658|5
loc9a9996a0edaf|2021-08-17||PADDYS RIVER||D|8|500220141|5
loc8181f76984e5|2021-07-07||GUNGAHLIN|9999|D|8|500223209|5
locf94248966b6c|2021-07-07||ARANDA||G|8|500219576|5
locf97341d6b4d6|2021-07-07||CRACE||G|8|500219792|5
loc5c64d9927907|2021-07-07||O'MALLEY||G|8|500219646|5
loc96bd19966598|2021-07-07||GILMORE||G|8|500219609|5
loc3c05059f862a|2021-07-07||BARTON||G|8|500219578|5
loc2491e3a476a6|2021-07-07||GUNGAHLIN|2912|G|8|500220136|5
locfc019324c56a|2021-07-07||PIALLIGO||G|8|500219654|5
loc0a721e1b7131|2021-07-07||JACKA||G|8|500223299|5
locfd79aaa844e6|2021-07-07||KINGSTON||G|8|500219629|5
locdef188dd7508|2021-07-06||FARRER||G|8|500219601|5
locffc19e1eaa45|2021-07-07||HACKETT||G|8|500219616|5
locf591777ee457|2021-07-07||O'CONNOR||G|8|500219645|5
locd1f3e8552073|2021-07-07||MONCRIEFF||G|8|500223392|5
loc8af26acb532d|2021-07-07||AINSLIE||G|8|500219574|5
loc4453cee2a1d2|2021-07-07||DOWNER||G|8|500219596|5
locfb58100d47ae|2021-07-07||CALWELL||G|8|500219583|5
locd9acdbc66ea4|2021-07-06||COOK||G|8|500219592|5
locf7df36fc3011|2021-07-07||MONASH||G|8|500219641|5
loc26228ac5fc51|2021-07-07||COOMBS||G|8|500223208|5
loc20cb3ad1b2bb|2021-07-06||OAKS ESTATE||G|8|500219647|5
loca2a615764089|2021-07-07||WATSON||G|8|500219670|5
loca5dacbe1db50|2021-07-07||BEARD||G|8|500223134|5
loc30ca19345194|2021-07-07||WANNIASSA||G|8|500219668|5
loceaaa593ac6d0|2021-07-07||KALEEN||G|8|500219627|5
locb69fa0a9f0f8|2021-07-07||BRADDON||G|8|500219581|5
