MB_2021_PID|DATE_CREATED|DATE_RETIRED|MB_2021_CODE
MB2180004950000|2021-08-16||80004950000
MB2180004961000|2021-08-16||80004961000
MB2180004962000|2021-08-16||80004962000
MB2180004970000|2021-08-16||80004970000
MB2180005580000|2021-08-16||80005580000
MB2180005590000|2021-08-16||80005590000
MB2180005600000|2021-08-16||80005600000
MB2180005610000|2021-08-16||80005610000
MB2180005620000|2021-08-16||80005620000
MB2180005631000|2021-08-16||80005631000
MB2180005632000|2021-08-16||80005632000
MB2180005640000|2021-08-16||80005640000
MB2180005650000|2021-08-16||80005650000
MB2180005660000|2021-08-16||80005660000
MB2180005670000|2021-08-16||80005670000
MB2180005680000|2021-08-16||80005680000
MB2180005690000|2021-08-16||80005690000
MB2180005710000|2021-08-16||80005710000
MB2180005730000|2021-08-16||80005730000
MB2180005740000|2021-08-16||80005740000
