PRIMARY_SECONDARY_PID|PRIMARY_PID|SECONDARY_PID|DATE_CREATED|DATE_RETIRED|PS_JOIN_TYPE_CODE|PS_JOIN_COMMENT
ACT7035070|GAACT714855961|GAACT714977940|2014-08-07||1|
ACT7035071|GAACT714855961|GAACT714977941|2014-08-07||1|
ACT7035072|GAACT714855961|GAACT714978620|2014-08-07||1|
ACT7035075|GAACT714855961|GAACT714980346|2014-08-07||1|
ACT7035076|GAACT714855961|GAACT714980347|2014-08-07||1|
ACT7035078|GAACT714855961|GAACT714980349|2014-08-07||1|
ACT7035082|GAACT714855961|GAACT714981548|2014-08-07||1|
ACT7035083|GAACT714855961|GAACT714981786|2014-08-07||1|
ACT7035085|GAACT714855961|GAACT714981788|2014-08-07||1|
ACT7035086|GAACT714855961|GAACT714981789|2014-08-07||1|
ACT7035090|GAACT714855961|GAACT714981793|2014-08-07||1|
ACT7035102|GAACT714855986|GAACT715291715|2014-08-07||1|
ACT7035104|GAACT714855986|GAACT715293744|2014-08-07||1|
ACT7035106|GAACT714855986|GAACT715293746|2014-08-07||1|
ACT7035109|GAACT714855986|GAACT715294601|2014-08-07||1|
ACT7035111|GAACT714855986|GAACT715294603|2014-08-07||1|
ACT7035116|GAACT714855987|GAACT715293742|2014-08-07||1|
ACT7035117|GAACT714855987|GAACT715293752|2014-08-07||1|
ACT7035119|GAACT714855987|GAACT715293754|2014-08-07||1|
ACT7035120|GAACT714855987|GAACT715293755|2014-08-07||1|
