STREET_LOCALITY_ALIAS_PID|DATE_CREATED|DATE_RETIRED|STREET_LOCALITY_PID|STREET_NAME|STREET_TYPE_CODE|STREET_SUFFIX_CODE|ALIAS_TYPE_CODE
L170556|2014-08-01||ACT677693|REED STREET|NORTH||SYN
L170506|2014-08-01||ACT5678|ROWLAND REECE|CRESCENT||SYN
L170531|2014-08-01||ACT1368|TELOPEA PARK|STREET||SYN
L170455|2014-08-01||ACT2202|MACFARLAND|PLACE||SYN
L170496|2014-08-01||ACT2553225|GORDON WITHNAL|STREET||SYN
L170553|2014-08-01||ACT2553225|GORDON WITHNELL|CRESCENT||SYN
L170412|2014-08-01||ACT2993674|GEMMEL|PLACE||SYN
L170423|2017-02-02||ACT2553139|MACDONALD|STREET||SYN
L170425|2017-02-02||ACT2553139|MCDONALD|AVENUE||SYN
L170495|2014-08-01||ACT2993681|ALLNUT|CRESCENT||SYN
L170497|2014-08-01||ACT3137892|BRIAN HUDSON|STREET||SYN
L170554|2014-08-01||ACT3137894|DE GRUNCHY|PLACE||SYN
L170498|2014-08-01||ACT3137906|MACFARLANE BURNETT|CIRCUIT||SYN
L170541|2014-08-01||ACT3137906|MACFARLANE BURNETT|AVENUE||SYN
222768|2021-02-09||ACT677602|MT STROMLO|ROAD||SYN
L170555|2014-08-01||ACT6546|NULLABOR|AVENUE||SYN
L170540|2014-08-01||ACT6543|MAPELTON|AVENUE||SYN
205248|2017-08-12||ACT3617085|MELOMYS|CRESCENT||SYN
L170502|2014-08-01||ACT1123|COMMONWEALTH|STREET||SYN
116000|2017-02-02||ACT677589|TINDALL|LANE||SYN
197376|2015-08-04||ACT3561951|BEDROCK|STREET||SYN
L170422|2014-08-01||ACT6092|BEMM|CLOSE||SYN
L170527|2014-08-01||ACT3855|NOAKES|CIRCUIT||SYN
L170476|2014-08-01||ACT5818|BARR-SMITH|AVENUE||SYN
L170535|2014-08-01||ACT4246|BROPHY|STREET||SYN
236835|2022-05-10||ACT734280|LADY DENMAN|ROAD||SYN
L170519|2014-08-01||ACT2274|KEMP|PLACE||SYN
L170488|2014-08-01||ACT2240|BARNETT|CLOSE||SYN
L170572|2014-08-01||ACT6433|GUNDAROO|ROAD||SYN
L170503|2014-08-01||ACT6596|JERRABOMBERRRA|AVENUE||SYN
L170536|2014-08-01||ACT676|DOBSON|STREET||SYN
L170523|2014-08-01||ACT2344|MARTENS|STREET||SYN
L170475|2014-08-01||ACT3076|ALLMANN|CIRCUIT||SYN
L170510|2014-08-01||ACT1346|COOINDA|CIRCUIT||SYN
L170537|2014-08-01||ACT628|GIBLIN|STREET||SYN
L170440|2014-08-01||ACT6029|MIAGO|STREET||SYN
L170408|2014-08-01||ACT6057|TAGGERTY|PLACE||SYN
L170566|2014-08-01||ACT6227|KEILEY|PLACE||SYN
L170451|2014-08-01||ACT6577|JOHN'S|PLACE||SYN
222771|2021-02-09||ACT1004|PT HUT|ROAD||SYN
236836|2022-05-10||ACT1029|HONEYSUCKLE|ROAD||SYN
115994|2017-05-02||ACT1055|THARWA|ROAD||SYN
222770|2021-02-09||ACT709470|MT AINSLIE|DRIVE||SYN
222769|2021-02-09||ACT709469|MT MAJURA|ROAD||SYN
L170490|2014-08-01||ACT6606|THE PINES|AVENUE||SYN
L170481|2014-08-01||ACT2996206|BUZO|GARDEN||SYN
197375|2015-08-04||ACT2996212|MINNIE BRUCE|STREET||SYN
203224|2017-05-02||ACT230|HANNAN|CRESCENT||SYN
L170561|2014-08-01||ACT1078|BARINE|DRIVE||SYN
L170452|2014-08-01||ACT588|RUSSEL|DRIVE||SYN
L170404|2014-08-01||ACT483|GOREEN|STREET||SYN
L170446|2014-08-01||ACT3327884|CURRONG|STREET||SYN
L170447|2014-08-01||ACT3327884|CURRONG STREET|NORTH||SYN
L170448|2014-08-01||ACT3327887|CURRONG|STREET||SYN
L170449|2014-08-01||ACT3327887|CURRONG STREET|SOUTH||SYN
L170570|2014-08-01||ACT2996202|TOM NICHOLAS|STREET||SYN
L170458|2014-08-01||ACT3345966|ABENA|STREET||SYN
L170499|2014-08-01||ACT4307|DOUGLASS WATERHOUSE|DRIVE||SYN
L170571|2014-08-01||ACT3553268|HANDBURY|STREET||SYN
L170543|2014-08-01||ACT3553263|SPILLET|STREET||SYN
L170542|2014-08-01||ACT3553236|MILERUN|LANE||SYN
L170459|2014-08-01||ACT3555578|RUBJUNTJA|STREET||SYN
L170427|2014-08-01||ACT3555632|ANNE DOUGLAS|STREET||SYN
L170433|2014-08-01||ACT5987|GILIRUK|COURT||SYN
L170480|2014-08-01||ACT5304|WEDGEWOOD|CLOSE||SYN
L170515|2014-08-01||ACT5511|EAGLEMONT|ROUTE||SYN
L170474|2014-08-01||ACT5491|ALCOTT|PLACE||SYN
L170513|2014-08-01||ACT5714|CROPPER|ROUTE||SYN
L170435|2014-08-01||ACT2694|HARDY|PLACE||SYN
L170507|2014-08-01||ACT5535|KOLHAGEN|STREET||SYN
L170524|2014-08-01||ACT5546|MENTONEVIEW|CIRCUIT||SYN
L170525|2014-08-01||ACT5548|MIDWOOD|PLACE||SYN
L170521|2014-08-01||ACT5754|MAILEY|ROUTE||SYN
L170517|2014-08-01||ACT747|HADDON|COURT||SYN
L170489|2014-08-01||ACT3345963|TED RICHARDS|AVENUE||SYN
L170454|2014-08-01||ACT740351|BALLUMBIR|STREET||SYN
L170456|2014-08-01||ACT5900|THARWA|ROAD||SYN
L170560|2014-08-01||ACT2553254|WHISKEY BAY|STREET||SYN
L170494|2014-08-01||ACT2553247|HEWETT|CIRCUIT||SYN
L170428|2014-08-01||ACT3555593|DISENDORF|STREET||SYN
193391|2014-08-01||ACT3555597|PHILIP HODGES|STREET||SYN
L170434|2014-08-01||ACT3559700|PARKES PLACE|EAST||SYN
L170437|2014-08-01||ACT3559701|PARKES PLACE|WEST||SYN
L170418|2014-08-01||ACT4544|IVO-WHITTON|CIRCUIT||SYN
L170557|2014-08-01||ACT677543|REED STREET|SOUTH||SYN
L170564|2014-08-01||ACT677548|OHANLON|PLACE||SYN
L170500|2014-08-01||ACT684|FLOS GRIEG|STREET||SYN
L170551|2014-08-01||ACT684|FLOS CREIG|STREET||SYN
L170534|2014-08-01||ACT665|BLAIR|STREET||SYN
L170533|2014-08-01||ACT730|WINDEYER|COURT||SYN
L170466|2014-08-01||ACT1246|DECHAIR|STREET||SYN
L170550|2014-08-01||ACT2916|BRAYBROOK|STREET||SYN
L170462|2014-08-01||ACT1358|LEICHARDT|STREET||SYN
L170493|2014-08-01||ACT1371|THE CAUSEWAY|CAUSEWAY||SYN
L170421|2014-08-01||ACT2819|BELLINGER|CIRCUIT||SYN
193392|2014-08-01||ACT3561968|ANNABELLA|VIEW||SYN
L170563|2014-08-01||ACT6214|GUNDAROO|ROAD||SYN
L170467|2014-08-01||ACT3337|DEVIS|PLACE||SYN
L170568|2014-08-01||ACT2996211|KATIE STOWE|LANE||SYN
202991|2017-02-02||ACT2995|BINDAGA|STREET||SYN
L170518|2014-08-01||ACT5091|KATER|PLACE||SYN
L170552|2014-08-01||ACT925287|NULLABOR|AVENUE||SYN
L170559|2014-08-01||ACT925277|GENTLE|STREET||SYN
L170415|2014-08-01||ACT601724|CLARY|LANE||SYN
L170426|2014-08-01||ACT3264|HEWLETT|CRESCENT||SYN
L170430|2014-08-01||ACT3557237|HOUSELY|STREET||SYN
L170431|2014-08-01||ACT3557242|JULIE KNIGHT|STREET||SYN
L170522|2014-08-01||ACT5844|MARQUET|ROUTE||SYN
L170477|2014-08-01||ACT2317|CONDOR|STREET||SYN
L170514|2014-08-01||ACT2319|DAPLYN|PLACE||SYN
L170483|2014-08-01||ACT2342|MCNALLY|STREET||SYN
L170484|2014-08-01||ACT2343|MAHONEY|COURT||SYN
L170457|2014-08-01||ACT6000|ITERRA|PLACE||SYN
L170532|2014-08-01||ACT1301|THESIGER|CIRCUIT||SYN
L170491|2014-08-01||ACT2296|THE VERGE|VERGE||SYN
L170406|2014-08-01||ACT466|ALLAMBIE|STREET||SYN
L170419|2014-08-01||ACT6140|NASS|CLOSE||SYN
L170441|2014-08-01||ACT6141|NARRAN|CLOSE||SYN
L170442|2014-08-01||ACT6147|REEVE|PLACE||SYN
L170443|2014-08-01||ACT6166|VASSER|PLACE||SYN
233696|2022-02-11||ACT5590|BELL CHAMBERS|CRESCENT||SYN
L170528|2014-08-01||ACT2357|RIVER|STREET||SYN
L170529|2014-08-01||ACT2359|RUBBO|STREET||SYN
L170569|2014-08-01||ACT2993625|MARY POTTER|COURT||SYN
L170410|2014-08-01||ACT5984|GANG GANG|COURT||SYN
L170501|2014-08-01||ACT6179|BARCLAY|STREET||SYN
L170478|2014-08-01||ACT6209|FREDA-BENNETT|CIRCUIT||SYN
L170539|2014-08-01||ACT124|BRIGALOW|COURT||SYN
L170520|2014-08-01||ACT6347|LEISLER|CLOSE||SYN
L170485|2014-08-01||ACT6369|SUGARLOAF|CRESCENT||SYN
L170470|2014-08-01||ACT3316|TWELVE TREES|CRESCENT||SYN
L170511|2014-08-01||ACT3654|COVERDALE|PLACE||SYN
L170411|2014-08-01||ACT4617|MOUNT VERNON|DRIVE||SYN
L170401|2014-08-01||ACT1441|STRZELECKI|CRESCENT||SYN
L170469|2014-08-01||ACT1613|STONEHAVEN|STREET||SYN
L170403|2014-08-01||ACT2222|THELFALL|STREET||SYN
L170413|2014-08-01||ACT6575|ARNOTT|PLACE||SYN
L170526|2014-08-01||ACT5848|NAMBIR|PLACE||SYN
L170436|2014-08-01||ACT6009|KARRUGANG|CIRCLE||SYN
L170508|2014-08-01||ACT6289|ABBOTT|CLOSE||SYN
L170530|2014-08-01||ACT6368|STROMLO|CIRCLE||SYN
L170450|2014-08-01||ACT1929|MACNAMARA|STREET||SYN
L170538|2014-08-01||ACT254|OFFICER|CRESCENT||SYN
L170573|2014-08-01||ACT601720|THE MEWS|MEWS||SYN
L170505|2014-08-01||ACT1172|PESCOTT|LANEWAY||SYN
L170562|2014-08-01||ACT3154|EMU BANK|DRIVE||SYN
L170509|2014-08-01||ACT5691|BEAUFORT|ROUTE||SYN
L170464|2014-08-01||ACT2968|TYNE|STREET||SYN
L170558|2014-08-01||ACT2942|JACK FLEMMING|PLACE||SYN
L170512|2014-08-01||ACT5370|CRESWICK|CLOSE||SYN
201244|2016-08-10||ACT3561527|SELLVACH|STREET||SYN
L170444|2014-08-01||ACT531|HERITAGE|ROAD||SYN
L170417|2014-08-01||ACT503|CHUMLEIGH|PLACE||SYN
205257|2017-11-01||ACT3563232|HOFFMAN|STREET||SYN
207664|2018-08-03||ACT3619007|STOCKDILL|DRIVE||SYN
217415|2020-05-07||ACT3619013|ALEX COLLEY|STREET||SYN
233694|2022-02-11||ACT3621928|DON GIZZARD|VIEW||SYN
L170429|2014-08-01||ACT5972|CUBILLO|PLACE||SYN
L170414|2014-08-01||ACT5995|GURUBEN|AVENUE||SYN
L170407|2014-08-01||ACT6012|LANELY|SQUARE||SYN
L170473|2014-08-01||ACT6270|SEABOURNE|PLACE||SYN
203226|2017-05-02||ACT119|BERRIGAN|STREET||SYN
256377|2023-05-07||ACT179|SWAINSONIA|STREET||SYN
L170482|2014-08-01||ACT6342|KOSCIUSKO|AVENUE||SYN
208544|2018-11-07||ACT3561986|WANDERLIGHT|STREET||SYN
197377|2015-08-04||ACT3562013|BLAKEWELL|STREET||SYN
222772|2021-02-09||ACT3563196|PT COOK|AVENUE||SYN
194373|2014-11-07||ACT3563193|DRAKE|CRESCENT||SYN
194374|2014-11-07||ACT3563201|ROGAN|PLACE||SYN
205250|2017-08-12||ACT3617109|USSHER|WAY||SYN
205255|2017-11-01||ACT3617100|GASSICK|STREET||SYN
201822|2016-11-07||ACT2974|UNIVERSITY DRIVE|SOUTH||SYN
205256|2017-11-01||ACT3615755|MARROW|WAY||SYN
205254|2017-11-01||ACT3615733|ECHINDA|STREET||SYN
L170420|2014-08-01||ACT4627|PEACH|PLACE||SYN
L170432|2014-08-01||ACT3557703|GROSVEMOR|STREET||SYN
203227|2017-05-02||ACT3615700|LUMSDANE|STREET||SYN
197378|2015-08-04||ACT2973|UNIVERSITY DRIVE|NORTH||SYN
201245|2016-08-10||ACT3614992|KONDELE|WAY||SYN
198975|2016-01-25||ACT3615003|GUESSEY|STREET||SYN
L170453|2014-08-01||ACT323|BALLUMBIR|STREET||SYN
L170486|2014-08-01||ACT740370|TENISON WOODS|CIRCUIT||SYN
L170400|2014-08-01||ACT740363|DRAKE BROCKMAN|DRIVE||SYN
L170565|2014-08-01||ACT740364|BROOMFIELD|PLACE||SYN
L170463|2014-08-01||ACT737678|AYERS FOWLERS|STREET||SYN
L170567|2017-02-02||ACT742048|AVONLEY|STREET||SYN
L170445|2014-08-01||ACT1982|WYATT|STREET||SYN
L170468|2014-08-01||ACT5635|POCKET|AVENUE||SYN
L170465|2014-08-01||ACT610|CADELL|STREET||SYN
L170472|2014-08-01||ACT3732|CLOSE|CRESCENT||SYN
198974|2016-01-25||ACT3563170|GUNDAMANG|STREET||SYN
L170471|2014-08-01||ACT1506|CALEY|PLACE||SYN
L170504|2014-08-01||ACT1551|PALMERSTON|LANEWAY||SYN
212974|2019-08-05||ACT6567|COLLEGE|STREET||SYN
L170409|2014-08-01||ACT3997|DELANEY|COURT||SYN
L170438|2014-08-01||ACT5926|KEMBLE|STREET||SYN
L170439|2014-08-01||ACT5928|MCEACHARN|STREET||SYN
219545|2020-11-08||ACT3619344|SODERSTON|STREET||SYN
233146|2021-11-10||ACT3619341|TRUND LE|STREET||SYN
L170405|2014-08-01||ACT6026|MARUNGAL|AVENUE||SYN
