STREET_LOCALITY_POINT_PID|DATE_CREATED|DATE_RETIRED|STREET_LOCALITY_PID|BOUNDARY_EXTENT|PLANIMETRIC_ACCURACY|LONGITUDE|LATITUDE
19725812|2023-11-07||ACT4185|21||149.06228297|-35.20329735
19728546|2023-11-07||ACT4205|177||149.07141718|-35.19785744
19727800|2023-11-07||ACT4224|40||149.07062614|-35.19786739
7496267|2015-04-25||ACT4241|56||149.06403475|-35.20345701
19552507|2023-07-31||ACT2695|43||149.04882122|-35.34418941
23212718|2026-01-26||ACT2712|198||149.04836935|-35.35457435
22184586|2025-04-26||ACT6598|9||149.13695813|-35.34996121
19725278|2026-01-26||ACT5326|127||149.12749123|-35.44667626
19726077|2023-11-07||ACT276|9||149.12279643|-35.27385519
22184479|2025-04-26||ACT4716|54||149.09065644|-35.38962303
19726073|2025-04-26||ACT677597|85||149.03655837|-35.44061129
23212442|2026-01-31||ACT677598|779||148.98565177|-35.33501314
23213086|2026-01-26||ACT3552993|116||149.14836292|-35.19940269
19158625|2023-05-03||ACT3555624|72||149.10056086|-35.16077773
19160413|2023-05-03||ACT3555628|35||149.10037368|-35.1590251
19554832|2023-07-31||ACT3561944|34||149.10004057|-35.16001286
6255002|2014-07-30||ACT3561945|91||149.04481018|-35.32266833
19725516|2023-11-07||ACT3561946|118||149.04278567|-35.31537267
19724547|2023-11-07||ACT3561947|71||149.04010329|-35.31542819
19728142|2023-11-07||ACT3561948|66||149.04551432|-35.3221479
