STREET_LOCALITY_PID|DATE_CREATED|DATE_RETIRED|STREET_CLASS_CODE|STREET_NAME|STREET_TYPE_CODE|STREET_SUFFIX_CODE|LOCALITY_PID|GNAF_STREET_PID|GNAF_STREET_CONFIDENCE|GNAF_RELIABILITY_CODE
ACT5799|2024-01-29||C|STURROCK|PLACE||loc9918d6329a8c|502494178|2|4
ACT994060|2024-01-29||C|AMY WITTING|STREET||loc1f697be4054a|503098715|2|4
ACT677692|2024-01-29||C|SCULLY|STREET||loc9918d6329a8c|502493939|2|4
ACT5800|2021-08-07||C|TALLON|PLACE||loc9918d6329a8c|502494222|-1|4
ACT994063|2024-01-29||C|CHARLOTTE BARTON|STREET||loc1f697be4054a|503098717|2|4
ACT994065|2021-07-06||C|ELLINOR WALKER|STREET||loc1f697be4054a|503098720|2|4
ACT5805|2021-07-06||C|TOWERS|PLACE||loc9918d6329a8c|502494361|2|4
ACT994066|2024-01-29||C|FLORA BASSETT|STREET||loc1f697be4054a|503098721|2|4
ACT5813|2021-07-06||C|ALFORD|PLACE||loc499281085d2f|502489733|2|4
ACT994070|2024-01-29||C|THEA ASTLEY|CRESCENT||loc1f697be4054a|503098730|2|4
ACT5822|2021-07-06||C|BROOKER|STREET||loc499281085d2f|502490345|2|4
ACT5856|2024-01-29||C|TARLTON|PLACE||loc499281085d2f|502494242|2|4
ACT709464|2024-01-29||C|RED HILL|DRIVE||loc6d18decab1db|502956188|1|4
ACT709465|2021-07-06||C|SCADDAN|PLACE||loc1f257ff2a115|502955217|2|4
ACT5863|2021-07-06||C|BADGER|PLACE||loc4f0d478ab62b|502489902|2|4
ACT714|2024-01-29||C|PEDEN|PLACE||loca2a615764089|502493505|2|4
ACT4794|2021-07-06||C|MIRAMS|PLACE||loc30ca19345194|502493087|2|4
ACT4795|2023-09-06||C|MOREY|PLACE||loc30ca19345194|502493139|2|4
ACT3953|2021-08-07||C|SPALDING|STREET||loc1c74a8b11582|502494076|-1|4
ACT3924|2024-01-29||C|JOYNER|CRESCENT||loc1c74a8b11582|502492264|2|4
