"IRSAD Indicators of disadvantage"
"Variable name","Variable description"
"NOYR12ORHIGHER","Per cent of people aged 15 years and over whose highest level of education is Year 11 or lower (Includes Certificate I and II)"
"INC_LOW","Per cent of people living in households with stated annual household equivalised income between $1 and $25,999 (approx. first and second deciles)"
"OCC_LABOUR","Per cent of employed people classified as 'labourers'"
"DISABILITYU70","Per cent of people aged under 70 who need assistance with core activities due to a long–term health condition, disability, or old age"
"CHILDJOBLESS","Per cent of families with children under 15 years of age who live with jobless parents"
"OCC_DRIVERS","Per cent of employed people classified as Machinery Operators and Drivers"
"LOWRENT","Per cent of occupied private dwellings paying rent less than $250 per week (excluding $0 per week)"
"SEPDIVORCED","Per cent of people aged 15 and over who are separated or divorced"
"ONEPARENT","Per cent of one parent families with dependent offspring only"
"UNEMPLOYED","Per cent of people (in the labour force) unemployed"
"OCC_SERVICE_L","Per cent of employed people classified as Low Skill (skill level 4 and 5) Community and Personal Service Workers"
"CERTIFICATE","Per cent of people aged 15 years and over whose highest level of educational attainment is a certificate III or IV qualification"
"OVERCROWD","Per cent of occupied private dwellings requiring one or more extra bedrooms (based on the Canadian National Occupancy Standard)"
"NOEDU","Per cent of people aged 15 years and over who have no educational attainment"
"OCC_SALES_L","Per cent of employed people classified as Low Skill (skill level 4 and 5) Sales"

"Source: Australian Bureau of Statistics, Socio-Economic Indexes for Areas (SEIFA), Australia methodology 2021"
